022$a	245$a	260$b
1469-5871 (electronic)	Environmental education research	Carfax International Publishers
2378-9638 (electronic)	ACM transactions on cyber-physical systems	"Association for Computing Machinery, Inc."
2396-9415 (electronic)	Autism & developmental language impairments	"SAGE Publications,"
1754-3762 (electronic)	British and Irish contemporary poetry	Liverpool University Press
2365-7464 (electronic)	Cognitive research: principles and implications	"Springer,;SpringerOpen"
2468-2020 (electronic)	Current opinion in toxicology	"Elsevier B.V.,"
1741-8887 (electronic)	E-learning	"Symposium Journals,"
2197-4454 (electronic)	European networks law and regulation quarterly	"Lexxion Verlagsgesellschaft mbH,"
2052-1553 (electronic)	Inorganic chemistry frontiers	RSC Publishing
2476-1419 (electronic)	Journal of global south studies	"Association of Global South Studies, Inc.,"
2410-3322 (electronic)	Ke cheng yan jiu	"[Cai tuan fa ren gao deng jiao yu ji jin hui],"
2194-5624 (electronic)	Moral philosophy and politics	"DeGruyter,"
2177-8841 (electronic)	Moringa	"Universidade Federal da Para{acute}iba, Departamento de Artes C{circ}enicas"
2468-7812 (electronic)	Musculoskeletal science and practice	"Elsevier Ltd.,"
1058-9058 (electronic)	The NCO journal	U.S. Army Sergeants Major Academy
1879-6060 (electronic)	Themes in theatre	Editions Rodopi B.V.
2469-6277 (electronic)	Wealth management	Penton Media Inc.
2471-2566 (print)	ACM transactions on privacy and security.
2371-4549 (electronic)	Journal of cultural analytics.
2377-8261 (electronic)	RSF	"Russell Sage Foundation,"
2381-0122 (electronic)	0 to 9	"[Vito Hannibal Acconci and Bernadette Mayer],"
2472-2219 (electronic)	The 1st casualty	"Vietnam Veterans Against the War, dc 1971-1972."
1528-3798 (electronic)	Able muse	"Able Muse Press,"
2179-975X (electronic)	Acta limnol{acute}ogica brasiliensia	Sociedade Brasileira de Limnologia
0568-0255 (electronic)	Adventures in poetry	"[Larry Fagin],"
2472-4831 (electronic)	Aegis	"National Communications Network, Feminist Alliance Against Rape, and the Alliance Against Sexual Coercion"
2381-0416 (electronic)	Ain't I a woman?	"Publications Collective, Iowa City W.L.F.;AIAW Collective;NSUM Collective"
1934-6395 (electronic)	Animal lab news	Vicon Pub.
2300-8733 (electronic)	Annals of animal science	National Research Institute of Animal Production.;De Gruyter Open
1365-2079 (electronic)	Antarctic science	"Cambridge University Press,"
2381-0513 (electronic)	Aphra	[APHRA Inc.]
2381-0769 (electronic)	The Archer	"[Wilfred Brown],;[Pro Poets of Oregon]"
2224-4255 (electronic)	Arthropods	"the International Academy of Ecology and Environmental Sciences,"
2224-4433 (electronic)	Asian journal of agriculture and rural development	"Asian Economic and Social Society,"
2056-807X (electronic)	BDJ open	"Nature Publishing Group publishes BDJ Open in partnership with the BDA,;Springer Nature in partnership with British Dental Association"
2475-5249 (electronic)	Black dialogue	"Ari Publications,"
2381-246X (electronic)	Black Maria	Black Maria Collective
2381-3407 (electronic)	Bread &
1582-3725 (electronic)	Bucovina Forestier{breve}a	"[Universitatea ""{commab}Stefan cel Mare"" Suceava, Facultatea de Silvicultura"
2075-5309 (electronic)	Buildings	MDPI AG
2381-4330 (electronic)	Burning deck	Burning Deck
2470-5039 (electronic)	Caliban	"Caliban,"
2147-9771 (electronic)	Y{uml}onetim bilimleri dergisi	{cedil}Canakkale Onsekiz Mart {uml}Universitesi
2381-4349 (electronic)	Chrysalis	"Chrysalis,"
1806-6690 (electronic)	Ci{circ}encia agron{circ}omica	"Escola de Agronomia da Universidade Federal do Cear{acute}a,"
2225-1154 (electronic)	Climate	"MDPI AG,"
2381-4659 (electronic)	Cloud marauder	"Cloud Marauder Press,"
2381-4853 (electronic)	Clown war	"Bob Heman,"
2381-4896 (electronic)	The Coldspring journal	"Cherry Valley Editions,;Whale Press,;Cherry Valley Editions"
2214-594X (electronic)	Comparative migration studies	"Amsterdam University Press,;Springer"
2220-721X (electronic)	Computational ecology and software	"International Academy of Ecology and Environmental Sciences,"
2381-5620 (electronic)	Conditions	[Conditions]
1338-0540 (electronic)	Contributions to geophysics & geodesy	De Gruyter Open
2381-5647 (electronic)	Country women	[Country Women]
2040-4697 (electronic)	Craft research	"Intellect,"
2381-571X (electronic)	Credences	"Credences Press,;Poetry/Rare Books Collection of the University Libraries, State University of New York at Buffalo"
2256-5442 (electronic)	Cuadernos de geograf{acute}ia	"Departamento de Geograf{acute}ia, Universidad Nacional de Colombia"
2381-5809 (electronic)	Damascus road	"C. Hanna,;Damascus Road Press"
